 1 puckman           "PuckMan (Japan set 1)"
 5 buzzard           "Buzzard"
 5 repulse           "Repulse"
 5 99lstwar          "'99: The Last War"
 5 99lstwara         "'99: The Last War (alternate)"
 5 99lstwark         "'99: The Last War (Kyugo)"
 5 sonofphx          "Son of Phoenix"
 5 flashgal          "Flashgal (set 1)"
 5 flashgala         "Flashgal (set 2)"
 5 srdmissn          "S.R.D. Mission"
 5 fx                "F-X"
 5 legend            "Legend"
 5 legendb           "Legion (bootleg of Legend)"
 5 airwolf           "Airwolf"
 5 airwolfa          "Airwolf (US)"
 5 skywolf           "Sky Wolf (set 1)"
 5 skywolf2          "Sky Wolf (set 2)"
 5 skywolf3          "Sky Wolf (set 3)"
 5 defender          "Defender (Red label)"
 5 defenderg         "Defender (Green label)"
 5 defenderb         "Defender (Blue label)"
 5 defenderw         "Defender (White label)"
 5 defndjeu          "Defender (bootleg)"
 5 tornado1          "Tornado (bootleg set 1)"
 5 tornado2          "Tornado (bootleg set 2)"
 5 zero              "Zero (set 1)"
 5 zero2             "Zero (set 2)"
 5 defcmnd           "Defense Command"
 5 defence           "Defence Command"
 5 startrkd          "Star Trek (Defender bootleg)"
 5 mayday            "Mayday (set 1)"
 5 maydaya           "Mayday (set 2)"
 5 maydayb           "Mayday (set 3)"
 5 colony7           "Colony 7 (set 1)"
 5 colony7a          "Colony 7 (set 2)"
 5 jin               "Jin"
 5 stargate          "Stargate"
 5 robotron          "Robotron (Solid Blue label)"
 5 robotronyo        "Robotron (Yellow/Orange label)"
 5 joust             "Joust (White/Green label)"
 5 joustr            "Joust (Solid Red label)"
 5 joustwr           "Joust (White/Red label)"
 5 bubbles           "Bubbles"
 5 bubblesr          "Bubbles (Solid Red label)"
 5 bubblesp          "Bubbles (prototype version)"
 5 splat             "Splat!"
 5 sinistar          "Sinistar (revision 3)"
 5 sinistar1         "Sinistar (prototype version)"
 5 sinistar2         "Sinistar (revision 2)"
 5 playball          "PlayBall! (prototype)"
 5 blaster           "Blaster"
 5 blaster30         "Blaster (early 30 wave version)"
 5 blasterkit        "Blaster (kit)"
 5 spdball           "Speed Ball (prototype)"
 5 alienar           "Alien Arena"
 5 alienaru          "Alien Arena (Stargate Upgrade)"
 5 mysticm           "Mystic Marathon"
 5 tshoot            "Turkey Shoot"
 5 inferno           "Inferno (Williams)"
 5 joust2            "Joust 2 - Survival of the Fittest (set 1)"
 5 lottofun          "Lotto Fun"
 5 vulgus            "Vulgus (set 1)"
 5 vulgus2           "Vulgus (set 2)"
 5 vulgusj           "Vulgus (Japan?)"
 5 sonson            "Son Son"
 5 sonsonj           "Son Son (Japan)"
 5 higemaru          "Pirate Ship Higemaru"
 5 1942              "1942 (Revision B)"
 5 1942a             "1942 (Revision A)"
 5 1942abl           "1942 (Revision A, bootleg)"
 5 1942b             "1942 (First Version)"
 5 1942w             "1942 (Williams Electronics license)"
 5 exedexes          "Exed Exes"
 5 savgbees          "Savage Bees"
 5 commando          "Commando (World)"
 5 commandou         "Commando (US)"
 5 commandoj         "Senjou no Ookami"
 5 commandob         "Commando (bootleg)"
 5 sinvasn           "Space Invasion (Europe)"
 5 sinvasnb          "Space Invasion (bootleg)"
 5 gng               "Ghosts'n Goblins (World? set 1)"
 5 gnga              "Ghosts'n Goblins (World? set 2)"
 5 gngbl             "Ghosts'n Goblins (bootleg with Cross)"
 5 gngblita          "Ghosts'n Goblins (Italian bootleg, harder)"
 5 gngc              "Ghosts'n Goblins (World? set 3)"
 5 gngt              "Ghosts'n Goblins (US)"
 5 makaimur          "Makai-Mura (Japan)"
 5 makaimurc         "Makai-Mura (Japan Revision C)"
 5 makaimurg         "Makai-Mura (Japan Revision G)"
 5 diamond           "Diamond Run"
 5 gunsmoke          "Gun.Smoke (World)"
 5 gunsmokeu         "Gun.Smoke (US set 1)"
 5 gunsmokeua        "Gun.Smoke (US set 2)"
 5 gunsmokej         "Gun.Smoke (Japan)"
 5 sectionz          "Section Z (set 1)"
 5 sectionza         "Section Z (set 2)"
 5 trojan            "Trojan (US)"
 5 trojanr           "Trojan (Romstar)"
 5 trojanj           "Tatakai no Banka (Japan)"
 5 srumbler          "The Speed Rumbler (set 1)"
 5 srumbler2         "The Speed Rumbler (set 2)"
 5 rushcrsh          "Rush & Crash (Japan)"
 5 lwings            "Legendary Wings (US set 1)"
 5 lwings2           "Legendary Wings (US set 2)"
 5 lwingsj           "Ares no Tsubasa (Japan)"
 5 lwingsb           "Legendary Wings (bootleg)"
 5 sidearms          "Side Arms - Hyper Dyne (World)"
 5 sidearmsr         "Side Arms - Hyper Dyne (US)"
 5 sidearmsj         "Side Arms - Hyper Dyne (Japan)"
 5 turtship          "Turtle Ship (North America)"
 5 turtshipj         "Turtle Ship (Japan)"
 5 turtshipk         "Turtle Ship (Korea)"
 5 dyger             "Dyger (Korea set 1)"
 5 dygera            "Dyger (Korea set 2)"
 5 twinfalc          "Twin Falcons"
 5 whizz             "Whizz"
 5 avengers          "Avengers (US set 1)"
 5 avengers2         "Avengers (US set 2)"
 5 buraiken          "Hissatsu Buraiken (Japan)"
 5 bionicc           "Bionic Commando (Euro)"
 5 bionicc1          "Bionic Commando (US set 1)"
 5 bionicc2          "Bionic Commando (US set 2)"
 5 topsecrt          "Top Secret (Japan, old revision)"
 5 1943              "1943: The Battle of Midway (Euro)"
 5 1943u             "1943: The Battle of Midway (US)"
 5 1943j             "1943: Midway Kaisen (Japan)"
 5 1943b             "1943: Battle of Midway (bootleg, hack of Japan set)"
 5 blktiger          "Black Tiger"
 5 blktigera         "Black Tiger (older)"
 5 blktigerb1        "Black Tiger (bootleg set 1)"
 5 blktigerb2        "Black Tiger (bootleg set 2)"
 5 blkdrgon          "Black Dragon (Japan)"
 5 blkdrgonb         "Black Dragon (bootleg)"
 5 sf                "Street Fighter (World, Analog buttons)"
 5 sfu               "Street Fighter (US, set 1)"
 5 sfua              "Street Fighter (US, set 2) (protected)"
 5 sfj               "Street Fighter (Japan) (protected)"
 5 sfp               "Street Fighter (prototype)"
 5 tigeroad          "Tiger Road (US)"
 5 toramich          "Tora-he no Michi (Japan)"
 5 tigeroadb         "Tiger Road (US bootleg)"
 5 f1dream           "F-1 Dream"
 5 f1dreamb          "F-1 Dream (bootleg)"
 5 1943kai           "1943 Kai: Midway Kaisen (Japan)"
 5 lastduel          "Last Duel (US New Ver.)"
 5 lastduelo         "Last Duel (US Old Ver.)"
 5 lastduelj         "Last Duel (Japan)"
 5 lastduelb         "Last Duel (bootleg)"
 5 madgear           "Mad Gear (US)"
 5 madgearj          "Mad Gear (Japan)"
 5 ledstorm          "Led Storm (US)"
 5 ledstorm2         "Led Storm Rally 2011 (US)"
 5 forgottn          "Forgotten Worlds (World)"
 5 forgottnu         "Forgotten Worlds (USA, B-Board 88621B-2)"
 5 forgottnua        "Forgotten Worlds (USA, B-Board 88618B-2)"
 5 lostwrld          "Lost Worlds (Japan)"
 5 lostwrldo         "Lost Worlds (Japan Old Ver.)"
 5 ghouls            "Ghouls'n Ghosts (World)"
 5 ghoulsu           "Ghouls'n Ghosts (USA)"
 5 daimakai          "Daimakaimura (Japan)"
 5 daimakair         "Daimakaimura (Japan Resale Ver.)"
 5 strider           "Strider (USA, B-Board 89624B-2)"
 5 striderua         "Strider (USA, B-Board 89624B-3)"
 5 striderj          "Strider Hiryu (Japan)"
 5 striderjr         "Strider Hiryu (Japan Resale Ver.)"
 5 dynwar            "Dynasty Wars (USA, B-Board 89624B-?)"
 5 dynwara           "Dynasty Wars (USA, B-Board 88622B-3)"
 5 dynwarj           "Tenchi wo Kurau (Japan)"
 5 dynwarjr          "Tenchi wo Kurau (Japan Resale Ver.)"
 5 willow            "Willow (USA)"
 5 willowo           "Willow (USA Old Ver.)"
 5 willowj           "Willow (Japan)"
 5 unsquad           "U.N. Squadron (USA)"
 5 area88            "Area 88 (Japan)"
 5 area88r           "Area 88 (Japan Resale Ver.)"
 5 ffight            "Final Fight (World)"
 5 ffightu           "Final Fight (USA)"
 5 ffightua          "Final Fight (USA 900112)"
 5 ffightub          "Final Fight (USA 900613)"
 5 ffightj           "Final Fight (Japan)"
 5 ffightj1          "Final Fight (Japan 900112)"
 5 ffightj2          "Final Fight (Japan 900305)"
 5 ffightjh          "Street Smart / Final Fight (Japan, hack)"
 5 1941              "1941: Counter Attack (World)"
 5 1941u             "1941: Counter Attack (USA 900227)"
 5 1941j             "1941: Counter Attack (Japan)"
 5 mercs             "Mercs (World 900302)"
 5 mercsu            "Mercs (USA 900608)"
 5 mercsur1          "Mercs (USA 900302)"
 5 mercsj            "Senjou no Ookami II (Japan 900302)"
 5 mtwins            "Mega Twins (World 900619)"
 5 chikij            "Chiki Chiki Boys (Japan 900619)"
 5 msword            "Magic Sword: Heroic Fantasy (World 900725)"
 5 mswordr1          "Magic Sword: Heroic Fantasy (World 900623)"
 5 mswordu           "Magic Sword: Heroic Fantasy (USA 900725)"
 5 mswordj           "Magic Sword: Heroic Fantasy (Japan 900623)"
 5 cawing            "Carrier Air Wing (World 901012)"
 5 cawingr1          "Carrier Air Wing (World 901009)"
 5 cawingu           "Carrier Air Wing (USA 901012)"
 5 cawingj           "U.S. Navy (Japan 901012)"
 5 nemo              "Nemo (World 901130)"
 5 nemoj             "Nemo (Japan 901120)"
 5 sf2               "Street Fighter II: The World Warrior (World 910522)"
 5 sf2eb             "Street Fighter II: The World Warrior (World 910214)"
 5 sf2ee             "Street Fighter II: The World Warrior (World 910228)"
 5 sf2ebbl           "Street Fighter II: The World Warrior (TAB Austria, bootleg)"
 5 sf2ua             "Street Fighter II: The World Warrior (USA 910206)"
 5 sf2ub             "Street Fighter II: The World Warrior (USA 910214)"
 5 sf2ud             "Street Fighter II: The World Warrior (USA 910318)"
 5 sf2ue             "Street Fighter II: The World Warrior (USA 910228)"
 5 sf2uf             "Street Fighter II: The World Warrior (USA 910411)"
 5 sf2ui             "Street Fighter II: The World Warrior (USA 910522)"
 5 sf2uk             "Street Fighter II: The World Warrior (USA 911101)"
 5 sf2j              "Street Fighter II: The World Warrior (Japan 911210)"
 5 sf2ja             "Street Fighter II: The World Warrior (Japan 910214)"
 5 sf2jc             "Street Fighter II: The World Warrior (Japan 910306)"
 5 sf2qp1            "Street Fighter II: The World Warrior (Quicken Pt-I, bootleg)"
 5 sf2thndr          "Street Fighter II: The World Warrior (Thunder Edition, bootleg)"
 5 3wonders          "Three Wonders (World 910520)"
 5 3wondersu         "Three Wonders (USA 910520)"
 5 wonder3           "Wonder 3 (Japan 910520)"
 5 3wondersh         "Three Wonders (hack)"
 5 kod               "The King of Dragons (World 910805)"
 5 kodr1             "The King of Dragons (World 910711)"
 5 kodu              "The King of Dragons (USA 910910)"
 5 kodj              "The King of Dragons (Japan 910805, B-Board 90629B-3)"
 5 kodja             "The King of Dragons (Japan 910805, B-Board 89625B-1)"
 5 kodb              "The King of Dragons (bootleg)"
 5 captcomm          "Captain Commando (World 911202)"
 5 captcommr1        "Captain Commando (World 911014)"
 5 captcommu         "Captain Commando (USA 910928)"
 5 captcommj         "Captain Commando (Japan 911202)"
 5 captcommjr1       "Captain Commando (Japan 910928)"
 5 captcommb         "Captain Commando (bootleg)"
 5 knights           "Knights of the Round (World 911127)"
 5 knightsu          "Knights of the Round (USA 911127)"
 5 knightsj          "Knights of the Round (Japan 911127, B-Board 91634B-2)"
 5 knightsja         "Knights of the Round (Japan 911127, B-Board 89625B-1)"
 5 knightsb          "Knights of the Round (bootleg)"
 5 sf2ce             "Street Fighter II': Champion Edition (World 920513)"
 5 sf2ceea           "Street Fighter II': Champion Edition (World 920313)"
 5 sf2ceua           "Street Fighter II': Champion Edition (USA 920313)"
 5 sf2ceub           "Street Fighter II': Champion Edition (USA 920513)"
 5 sf2ceuc           "Street Fighter II': Champion Edition (USA 920803)"
 5 sf2cej            "Street Fighter II': Champion Edition (Japan 920513)"
 5 sf2rb             "Street Fighter II': Champion Edition (Rainbow set 1, bootleg)"
 5 sf2rb2            "Street Fighter II': Champion Edition (Rainbow set 2, bootleg)"
 5 sf2rb3            "Street Fighter II': Champion Edition (Rainbow set 3, bootleg)"
 5 sf2red            "Street Fighter II': Champion Edition (Red Wave, bootleg)"
 5 sf2v004           "Street Fighter II': Champion Edition (V004, bootleg)"
 5 sf2acc            "Street Fighter II': Champion Edition (Accelerator!, bootleg)"
 5 sf2accp2          "Street Fighter II': Champion Edition (Accelerator Pt.II, bootleg)"
 5 sf2dkot2          "Street Fighter II': Champion Edition (Double K.O. Turbo II, bootleg)"
 5 sf2m1             "Street Fighter II': Champion Edition (M1, bootleg)"
 5 sf2m2             "Street Fighter II': Champion Edition (M2, bootleg)"
 5 sf2m3             "Street Fighter II': Champion Edition (M3, bootleg)"
 5 sf2m4             "Street Fighter II': Champion Edition (M4, bootleg)"
 5 sf2m5             "Street Fighter II': Champion Edition (M5, bootleg)"
 5 sf2m6             "Street Fighter II': Champion Edition (M6, bootleg)"
 5 sf2m7             "Street Fighter II': Champion Edition (M7, bootleg)"
 5 sf2yyc            "Street Fighter II': Champion Edition (YYC, bootleg)"
 5 sf2koryu          "Street Fighter II': Champion Edition (Xiang Long, Chinese bootleg)"
 5 sf2mdt            "Street Fighter II': Magic Delta Turbo (bootleg)"
 5 cworld2j          "Adventure Quiz Capcom World 2 (Japan 920611)"
 5 varth             "Varth: Operation Thunderstorm (World 920714)"
 5 varthr1           "Varth: Operation Thunderstorm (World 920612)"
 5 varthu            "Varth: Operation Thunderstorm (USA 920612)"
 5 varthj            "Varth: Operation Thunderstorm (Japan 920714)"
 5 qad               "Quiz & Dragons: Capcom Quiz Game (USA 920701)"
 5 qadj              "Quiz & Dragons: Capcom Quiz Game (Japan 940921)"
 5 wof               "Warriors of Fate (World 921002)"
 5 wofu              "Warriors of Fate (USA 921031)"
 5 wofa              "Sangokushi II (Asia 921005)"
 5 wofj              "Tenchi wo Kurau II: Sekiheki no Tatakai (Japan 921031)"
 5 wofhfh            "Huo Feng Huang (Chinese bootleg of Sangokushi II)"
 5 sf2hf             "Street Fighter II': Hyper Fighting (World 921209)"
 5 sf2hfu            "Street Fighter II': Hyper Fighting (USA 921209)"
 5 sf2hfj            "Street Fighter II' Turbo: Hyper Fighting (Japan 921209)"
 5 dino              "Cadillacs and Dinosaurs (World 930201)"
 5 dinou             "Cadillacs and Dinosaurs (USA 930201)"
 5 dinoj             "Cadillacs: Kyouryuu Shin Seiki (Japan 930201)"
 5 dinopic           "Cadillacs and Dinosaurs (bootleg with PIC16c57, set 1)"
 5 dinopic2          "Cadillacs and Dinosaurs (bootleg with PIC16c57, set 2)"
 5 dinohunt          "Dinosaur Hunter (Chinese bootleg of Cadillacs and Dinosaurs)"
 5 punisher          "The Punisher (World 930422)"
 5 punisheru         "The Punisher (USA 930422)"
 5 punisherj         "The Punisher (Japan 930422)"
 5 punipic           "The Punisher (bootleg with PIC16c57, set 1)"
 5 punipic2          "The Punisher (bootleg with PIC16c57, set 2)"
 5 punipic3          "The Punisher (bootleg with PIC16c57, set 3)"
 5 punisherbz        "Biaofeng Zhanjing (Chinese bootleg of The Punisher)"
 5 slammast          "Saturday Night Slam Masters (World 930713)"
 5 slammastu         "Saturday Night Slam Masters (USA 930713)"
 5 mbomberj          "Muscle Bomber: The Body Explosion (Japan 930713)"
 5 mbombrd           "Muscle Bomber Duo: Ultimate Team Battle (World 931206)"
 5 mbombrdj          "Muscle Bomber Duo: Heat Up Warriors (Japan 931206)"
 5 pnickj            "Pnickies (Japan 940608)"
 5 qtono2j           "Quiz Tonosama no Yabou 2: Zenkoku-ban (Japan 950123)"
 5 pang3             "Pang! 3 (Euro 950601)"
 5 pang3n            "Pang! 3 (Euro 950511, not encrypted)"
 5 pang3j            "Pang! 3: Kaitou Tachi no Karei na Gogo (Japan 950511)"
 5 megaman           "Mega Man: The Power Battle (CPS1, USA 951006)"
 5 megamana          "Mega Man: The Power Battle (CPS1, Asia 951006)"
 5 rockmanj          "Rockman: The Power Battle (CPS1, Japan 950922)"
 5 fcrash            "Final Crash (bootleg of Final Fight)"
 5 ssf2              "Super Street Fighter II: The New Challengers (World 930911)"
 5 ssf2u             "Super Street Fighter II: The New Challengers (USA 930911)"
 5 ssf2a             "Super Street Fighter II: The New Challengers (Asia 931005)"
 5 ssf2ar1           "Super Street Fighter II: The New Challengers (Asia 930914)"
 5 ssf2j             "Super Street Fighter II: The New Challengers (Japan 931005)"
 5 ssf2jr1           "Super Street Fighter II: The New Challengers (Japan 930911)"
 5 ssf2jr2           "Super Street Fighter II: The New Challengers (Japan 930910)"
 5 ssf2h             "Super Street Fighter II: The New Challengers (Hispanic 930911)"
 5 ssf2tb            "Super Street Fighter II: The Tournament Battle (World 931119)"
 5 ssf2tbr1          "Super Street Fighter II: The Tournament Battle (World 930911)"
 5 ssf2tbj           "Super Street Fighter II: The Tournament Battle (Japan 930911)"
 5 ecofghtr          "Eco Fighters (World 931203)"
 5 ecofghtru         "Eco Fighters (USA 940215)"
 5 ecofghtru1        "Eco Fighters (USA 931203)"
 5 ecofghtra         "Eco Fighters (Asia 931203)"
 5 ecofghtrh         "Eco Fighters (Hispanic 931203)"
 5 uecology          "Ultimate Ecology (Japan 931203)"
 5 ddtod             "Dungeons & Dragons: Tower of Doom (Euro 940412)"
 5 ddtodr1           "Dungeons & Dragons: Tower of Doom (Euro 940113)"
 5 ddtodu            "Dungeons & Dragons: Tower of Doom (USA 940125)"
 5 ddtodur1          "Dungeons & Dragons: Tower of Doom (USA 940113)"
 5 ddtodj            "Dungeons & Dragons: Tower of Doom (Japan 940412)"
 5 ddtodjr1          "Dungeons & Dragons: Tower of Doom (Japan 940125)"
 5 ddtodjr2          "Dungeons & Dragons: Tower of Doom (Japan 940113)"
 5 ddtoda            "Dungeons & Dragons: Tower of Doom (Asia 940113)"
 5 ddtodh            "Dungeons & Dragons: Tower of Doom (Hispanic 940412)"
 5 ddtodhr1          "Dungeons & Dragons: Tower of Doom (Hispanic 940125)"
 5 ddtodhr2          "Dungeons & Dragons: Tower of Doom (Hispanic 940113)"
 5 ssf2t             "Super Street Fighter II Turbo (World 940223)"
 5 ssf2tu            "Super Street Fighter II Turbo (USA 940323)"
 5 ssf2tur1          "Super Street Fighter II Turbo (USA 940223)"
 5 ssf2ta            "Super Street Fighter II Turbo (Asia 940223)"
 5 ssf2xj            "Super Street Fighter II X: Grand Master Challenge (Japan 940223)"
 5 avsp              "Alien vs. Predator (Euro 940520)"
 5 avspu             "Alien vs. Predator (USA 940520)"
 5 avspj             "Alien vs. Predator (Japan 940520)"
 5 avspa             "Alien vs. Predator (Asia 940520)"
